timestamp,raw_adc,voltage_v,peak_adc,tap_count
2026-04-14T10:44:49.183Z,20,0.0978,20,0
2026-04-14T10:44:49.246Z,5,0.0244,5,0
2026-04-14T10:44:49.308Z,5,0.0244,5,0
2026-04-14T10:44:49.369Z,17,0.0831,17,0
2026-04-14T10:44:49.432Z,8,0.0391,8,0
2026-04-14T10:44:49.496Z,232,1.1339,232,1
2026-04-14T10:44:49.557Z,1,0.0049,1,1
2026-04-14T10:44:49.620Z,1,0.0049,1,1
2026-04-14T10:44:49.681Z,16,0.0782,16,1
2026-04-14T10:44:49.744Z,20,0.0978,20,1
2026-04-14T10:44:49.806Z,15,0.0733,15,1
2026-04-14T10:44:49.868Z,4,0.0196,4,1
2026-04-14T10:44:49.930Z,14,0.0684,14,1
2026-04-14T10:44:49.993Z,10,0.0489,10,1
2026-04-14T10:44:50.057Z,12,0.0587,12,1
2026-04-14T10:44:50.118Z,11,0.0538,11,1
2026-04-14T10:44:50.180Z,3,0.0147,3,1
2026-04-14T10:44:50.240Z,24,0.1173,24,1
2026-04-14T10:44:50.302Z,14,0.0684,14,1
2026-04-14T10:44:50.364Z,9,0.044,9,1
2026-04-14T10:44:50.425Z,19,0.0929,19,1
2026-04-14T10:44:50.487Z,6,0.0293,6,1
2026-04-14T10:44:50.549Z,5,0.0244,5,1
2026-04-14T10:44:50.611Z,23,0.1124,23,1
2026-04-14T10:44:50.673Z,13,0.0635,13,1
2026-04-14T10:44:50.734Z,2,0.0098,2,1
2026-04-14T10:44:50.797Z,0,0,0,1
2026-04-14T10:44:50.860Z,11,0.0538,11,1
2026-04-14T10:44:50.921Z,3,0.0147,3,1
2026-04-14T10:44:50.983Z,3,0.0147,3,1
2026-04-14T10:44:51.046Z,20,0.0978,20,1
2026-04-14T10:44:51.109Z,18,0.088,18,1
2026-04-14T10:44:51.172Z,4,0.0196,4,1
2026-04-14T10:44:51.235Z,18,0.088,18,1
2026-04-14T10:44:51.297Z,24,0.1173,24,1
2026-04-14T10:44:51.359Z,9,0.044,9,1
2026-04-14T10:44:51.421Z,23,0.1124,23,1
2026-04-14T10:44:51.484Z,4,0.0196,4,1
2026-04-14T10:44:51.547Z,20,0.0978,20,1
2026-04-14T10:44:51.610Z,0,0,0,1
2026-04-14T10:44:51.672Z,0,0,0,1
2026-04-14T10:44:51.734Z,18,0.088,18,1
2026-04-14T10:44:51.796Z,12,0.0587,12,1
2026-04-14T10:44:51.860Z,18,0.088,18,1
2026-04-14T10:44:51.922Z,14,0.0684,14,1
2026-04-14T10:44:51.986Z,13,0.0635,13,1
2026-04-14T10:44:52.048Z,17,0.0831,17,1
2026-04-14T10:44:52.108Z,9,0.044,9,1
2026-04-14T10:44:52.172Z,20,0.0978,20,1
2026-04-14T10:44:52.233Z,22,0.1075,22,1
2026-04-14T10:44:52.295Z,11,0.0538,11,1
2026-04-14T10:44:52.358Z,317,1.5494,317,2
2026-04-14T10:44:52.420Z,20,0.0978,20,2
2026-04-14T10:44:52.483Z,20,0.0978,20,2
2026-04-14T10:44:52.545Z,10,0.0489,10,2
2026-04-14T10:44:52.606Z,14,0.0684,14,2
2026-04-14T10:44:52.669Z,22,0.1075,22,2
2026-04-14T10:44:52.732Z,7,0.0342,7,2
2026-04-14T10:44:52.794Z,17,0.0831,17,2
2026-04-14T10:44:52.856Z,14,0.0684,14,2
2026-04-14T10:44:52.920Z,0,0,0,2
2026-04-14T10:44:52.983Z,2,0.0098,2,2
2026-04-14T10:44:53.045Z,18,0.088,18,2
2026-04-14T10:44:53.106Z,6,0.0293,6,2
2026-04-14T10:44:53.167Z,9,0.044,9,2
2026-04-14T10:44:53.229Z,2,0.0098,2,2
2026-04-14T10:44:53.291Z,21,0.1026,21,2
2026-04-14T10:44:53.354Z,12,0.0587,12,2
2026-04-14T10:44:53.416Z,0,0,0,2
2026-04-14T10:44:53.479Z,4,0.0196,4,2
2026-04-14T10:44:53.540Z,20,0.0978,20,2
2026-04-14T10:44:53.602Z,24,0.1173,24,2
2026-04-14T10:44:53.664Z,16,0.0782,16,2
2026-04-14T10:44:53.726Z,13,0.0635,13,2
2026-04-14T10:44:53.789Z,23,0.1124,23,2
2026-04-14T10:44:53.851Z,10,0.0489,10,2
2026-04-14T10:44:53.914Z,17,0.0831,17,2
2026-04-14T10:44:53.976Z,21,0.1026,21,2
2026-04-14T10:44:54.039Z,21,0.1026,21,2
2026-04-14T10:44:54.102Z,8,0.0391,8,2
2026-04-14T10:44:54.166Z,4,0.0196,4,2
2026-04-14T10:44:54.227Z,9,0.044,9,2
2026-04-14T10:44:54.288Z,22,0.1075,22,2
2026-04-14T10:44:54.351Z,20,0.0978,20,2
2026-04-14T10:44:54.412Z,19,0.0929,19,2
2026-04-14T10:44:54.474Z,1,0.0049,1,2
2026-04-14T10:44:54.536Z,6,0.0293,6,2
2026-04-14T10:44:54.599Z,13,0.0635,13,2
2026-04-14T10:44:54.659Z,11,0.0538,11,2
2026-04-14T10:44:54.721Z,16,0.0782,16,2
2026-04-14T10:44:54.784Z,7,0.0342,7,2
2026-04-14T10:44:54.848Z,21,0.1026,21,2
2026-04-14T10:44:54.911Z,15,0.0733,15,2
2026-04-14T10:44:54.972Z,0,0,0,2
2026-04-14T10:44:55.035Z,2,0.0098,2,2
2026-04-14T10:44:55.096Z,12,0.0587,12,2
2026-04-14T10:44:55.159Z,22,0.1075,22,2
2026-04-14T10:44:55.220Z,2,0.0098,2,2
2026-04-14T10:44:55.284Z,11,0.0538,11,2
2026-04-14T10:44:55.346Z,1,0.0049,1,2
2026-04-14T10:44:55.409Z,12,0.0587,12,2
2026-04-14T10:44:55.470Z,18,0.088,18,2
2026-04-14T10:44:55.532Z,23,0.1124,23,2
2026-04-14T10:44:55.595Z,11,0.0538,11,2
2026-04-14T10:44:55.656Z,53,0.259,53,3
